x,y
2020-05-23,33890.950354731554
2020-05-24,35868.89060514991
2020-05-25,38282.3217143582
2020-05-26,41147.747861589654
2020-05-27,44481.51791789167
2020-05-28,48299.81433669015
2020-05-29,52618.642253168306
2020-05-30,57453.81879239599
2020-05-31,62820.962586265174
2020-06-01,68735.48349923472
2020-06-02,75212.57256274979
2020-06-03,82267.1921186134
2020-06-04,89914.06617097871
2020-06-05,98167.67094721887
2020-06-06,107042.22566756129
2020-06-07,116551.6835235011
2020-06-08,126709.72286495566
2020-06-09,137529.738596314
2020-06-10,149024.8337811203
2020-06-11,161207.81145566556
2020-06-12,174091.16665131284
2020-06-13,187687.07862558568
2020-06-14,202007.40330206265
2020-06-15,217063.6659190818
2020-06-16,232867.05388716757
2020-06-17,249428.4098552735
2020-06-18,266758.22498584725
2020-06-19,284866.6324385856
2020-06-20,303763.401063067
2020-06-21,323457.9293001008
2020-06-22,343959.2392918852
2020-06-23,365275.9712009644
2020-06-24,387416.3777379662
2020-06-25,410388.3188980473
2020-06-26,434199.2569062577
2020-06-27,458856.25137155387
2020-06-28,484365.95464969013
2020-06-29,510734.60741484666
2020-06-30,537968.0344400555
2020-07-01,566071.6405864039
2020-07-02,595050.4070009873
2020-07-03,624908.8875237873
2020-07-04,655651.2053030923
2020-07-05,687281.0496199339
2020-07-06,719801.6729211353
2020-07-07,753215.8880612839
2020-07-08,787526.0657533642
2020-07-09,822734.1322282692
2020-07-10,858841.5671030052
2020-07-11,895849.4014577921
2020-07-12,933758.2161218212
2020-07-13,972568.1401679097
2020-07-14,1012278.8496158058
2020-07-15,1052889.5663444644
2020-07-16,1094399.057212939
2020-07-17,1136805.6333901028
2020-07-18,1180107.1498932007
2020-07-19,1224301.00533515
2020-07-20,1269384.1418805688
2020-07-21,1315353.0454107337
2020-07-22,1362203.7458971485
2020-07-23,1409931.8179840513
2020-07-24,1458532.3817795352
2020-07-25,1508000.1038556823
2020-07-26,1558329.1984571714
2020-07-27,1609513.4289190276
2020-07-28,1661546.1092928003
2020-07-29,1714420.106181847
